label,Gates_deploy_rate,Gates_unsafe_rate,Gates_contam_rate,Gates_unsafe_ci_lo,Gates_unsafe_ci_hi,Composite (moderate)_deploy_rate,Composite (moderate)_unsafe_rate,Composite (moderate)_contam_rate,Composite (moderate)_unsafe_ci_lo,Composite (moderate)_unsafe_ci_hi,Composite (matched)_deploy_rate,Composite (matched)_unsafe_rate,Composite (matched)_contam_rate,Permissive_deploy_rate,Permissive_unsafe_rate,Permissive_contam_rate
10% high / 90% std,0.331,0.0,0.0,0.0,0.0,0.728,0.015,0.020604395604395604,0.008,0.023,0.331,0.001,0.0030211480362537764,0.823,0.023,0.027946537059538274
20% high / 80% std,0.309,0.0,0.0,0.0,0.0,0.68,0.014,0.020588235294117647,0.007,0.022,0.309,0.0,0.0,0.805,0.024,0.02981366459627329
30% high / 70% std (reference),0.285,0.0,0.0,0.0,0.0,0.627,0.009,0.014354066985645933,0.004,0.016,0.285,0.0,0.0,0.76,0.022,0.02894736842105263
40% high / 60% std,0.287,0.0,0.0,0.0,0.0,0.631,0.01,0.01584786053882726,0.004,0.017,0.287,0.001,0.003484320557491289,0.732,0.018,0.02459016393442623
50% high / 50% std,0.248,0.0,0.0,0.0,0.0,0.546,0.008,0.014652014652014652,0.003,0.014,0.248,0.0,0.0,0.716,0.026,0.036312849162011177
