obs_noise_sd,deployment_rate,gate_unsafe_deploy,composite_unsafe_deploy,gate_unsafe_among_deployed,composite_unsafe_among_deployed
0.01,0.287,0.0,0.0,0.0,0.0
0.02357142857142857,0.288,0.0,0.0,0.0,0.0
0.037142857142857144,0.293,0.0,0.0,0.0,0.0
0.05071428571428572,0.292,0.0,0.0,0.0,0.0
0.06428571428571428,0.284,0.0,0.0,0.0,0.0
0.07785714285714285,0.274,0.0,0.0,0.0,0.0
0.09142857142857143,0.265,0.0,0.0,0.0,0.0
0.105,0.256,0.0,0.0,0.0,0.0
0.11857142857142856,0.247,0.0,0.0,0.0,0.0
0.13214285714285715,0.24,0.0,0.0,0.0,0.0
0.1457142857142857,0.23,0.0,0.0,0.0,0.0
0.15928571428571428,0.215,0.0,0.0,0.0,0.0
0.17285714285714288,0.201,0.0,0.0,0.0,0.0
0.18642857142857144,0.186,0.0,0.0,0.0,0.0
0.2,0.176,0.0,0.0,0.0,0.0
